ALCHEMY_SCORE,ALCHEMY_TEXT,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,SEQNO,IMAGEBOX,STATUS,STATUSINFO,TOTALTRANSACTIONS,URL,USAGE,VISUAL_IMAGE,_ID,_REV
0.956893,person,2016,03,30,13,02,15,14-00,72x134+348+86,,,,,,20160330130215-14-00.jpg,20160330130215-14-00,1-42f5112d4f325a6b907c0624324b78e8
0.331812,person,2016,03,30,16,20,04,14-00,34x148+384+118,,,,,,20160330162004-14-00.jpg,20160330162004-14-00,1-923930e728174ccdc8d17d59fcd4733e
,NO_TAGS,2016,03,30,13,08,40,25-00,34x334+410+78,,,,,,20160330130840-25-00.jpg,20160330130840-25-00,1-edc6113558a89581a881f0bb68f32892
0.973403,person,2016,03,30,13,32,19,47-01,186x478+216+0,,,,,,20160330133219-47-01.jpg,20160330133219-47-01,1-1ac185019a0d2eee856981030aafdb70
0.574443,person,2016,03,30,12,57,36,09-01,46x90+356+120,,,,,,20160330125736-09-01.jpg,20160330125736-09-01,1-211571afefa1812a6b37bd3b8a9d9f62
0.916827,person,2016,03,30,13,15,16,31-00,426x134+112+160,,,,,,20160330131516-31-00.jpg,20160330131516-31-00,1-0ec0f5c4bd34c9e503d7f93f2425ebb2
0.942676,person,2016,03,30,13,07,14,23-01,76x70+336+122,,,,,,20160330130714-23-01.jpg,20160330130714-23-01,1-ffeabfa54631062efa71384a8d5f2751
0.956893,person,2016,03,30,13,14,46,30-01,114x420+340+14,,,,,,20160330131446-30-01.jpg,20160330131446-30-01,1-48d6b1aa24f1d9b180fc03de6b36fbe7
0.75026,person,2016,03,30,18,48,34,46-00,504x474+64+4,,,,,,20160330184834-46-00.jpg,20160330184834-46-00,1-80d23f039125a3da3e4896d097578e20
0.450166,person,2016,03,30,13,25,32,43-01,26x424+402+20,,,,,,20160330132532-43-01.jpg,20160330132532-43-01,1-6161eff13034ebcbdb1c30cfb256e4ed
0.524979,person,2016,03,30,13,18,46,35-01,66x134+384+116,,,,,,20160330131846-35-01.jpg,20160330131846-35-01,1-eeaf8504e37b577a9746209c8f529c9a
0.817574,person,2016,03,30,13,21,43,39-01,54x154+360+44,,,,,,20160330132143-39-01.jpg,20160330132143-39-01,1-ed5e214c9917285b8ae0f4b59ef6f113
0.900249,person,2016,03,30,13,03,08,16-00,52x38+382+86,,,,,,20160330130308-16-00.jpg,20160330130308-16-00,1-dc0f77ed6784f5eece3a9bc6369c833c
0.310026,person,2016,03,30,19,17,09,59-01,28x98+224+128,,,,,,20160330191709-59-01.jpg,20160330191709-59-01,1-b51d142c8684dbd67bbca1ca1426af2d
0.645656,person,2016,03,30,13,08,59,26-01,100x144+380+116,,,,,,20160330130859-26-01.jpg,20160330130859-26-01,1-f939f76dba47233ca8fa35f342a94310
,NO_TAGS,2016,03,30,15,50,26,11-00,526x478+40+0,,,,,,20160330155026-11-00.jpg,20160330155026-11-00,1-b375f42bf8f283d15ec4b31d74089534
,NO_TAGS,2016,03,30,15,46,13,08-01,34x478+398+0,,,,,,20160330154613-08-01.jpg,20160330154613-08-01,1-152bd505194f9c927e11940da5b6612c
,NO_TAGS,2016,03,30,13,49,34,48-01,82x174+176+86,,,,,,20160330134934-48-01.jpg,20160330134934-48-01,1-6a566b0085b78ea1c8914adbca622cb0
,NO_TAGS,2016,03,30,13,03,40,17-00,38x344+404+40,,,,,,20160330130340-17-00.jpg,20160330130340-17-00,1-8e36204828900a0a392a225dbde97a20
0.960834,person,2016,03,30,13,24,30,42-01,76x80+294+130,,,,,,20160330132430-42-01.jpg,20160330132430-42-01,1-579c72703b265ef91fce57361b402044
0.689974,person,2016,03,30,17,44,02,28-01,522x458+66+0,,,,,,20160330174402-28-01.jpg,20160330174402-28-01,1-d42a39448aa18d8495ba5c3eb72bbe59
0.996665,person,2016,03,30,13,10,19,27-00,204x380+206+74,,,,,,20160330131019-27-00.jpg,20160330131019-27-00,1-c08d6a6ede60fcc5eb2e3368bbd81536
,NO_TAGS,2016,03,30,16,04,53,12-00,26x104+402+342,,,,,,20160330160453-12-00.jpg,20160330160453-12-00,1-bf33d6ef3c9bef1c79de8ae1b72e8261
0.995504,person,2016,03,30,13,17,48,33-00,38x64+348+136,,,,,,20160330131748-33-00.jpg,20160330131748-33-00,1-ffb98e3744ee6b457f556b061a227743
0.937027,person,2016,03,30,19,37,24,76-01,536x478+62+0,,,,,,20160330193724-76-01.jpg,20160330193724-76-01,1-01f85afd8e7e216cea10f5ae9982ffe7
,NO_TAGS,2016,03,30,15,42,01,04-00,588x478+26+0,,,,,,20160330154201-04-00.jpg,20160330154201-04-00,1-7b6f3c71b0238856afd3587f4532d30c
,NO_TAGS,2016,03,30,15,23,36,02-00,48x44+364+182,,,,,,20160330152336-02-00.jpg,20160330152336-02-00,1-fa827ac52c9f79f9bd4f558932b30ef4
0.990048,person,2016,03,30,19,44,30,85-00,62x134+392+54,,,,,,20160330194430-85-00.jpg,20160330194430-85-00,1-99370b3a07c27505ed488124ae8f0d91
0.785835,person,2016,03,30,13,16,47,32-01,38x104+234+142,,,,,,20160330131647-32-01.jpg,20160330131647-32-01,1-29c94a16d51abe54b7f2fd876719e487
0.970688,person,2016,03,30,13,23,23,41-01,56x74+348+150,,,,,,20160330132323-41-01.jpg,20160330132323-41-01,1-44e126a0a1386c8ce92284527b5d73e3
0.5,person,2016,03,30,13,06,38,21-00,64x38+340+152,,,,,,20160330130638-21-00.jpg,20160330130638-21-00,1-faba1c0d0fc8e7233df44602c9df9bd2
0.354344,person,2016,03,30,17,59,11,33-01,564x478+38+0,,,,,,20160330175911-33-01.jpg,20160330175911-33-01,1-1f1a035c2a263e1177b641904035a6c6
0.956893,person,2016,03,30,15,45,28,06-00,58x154+388+90,,,,,,20160330154528-06-00.jpg,20160330154528-06-00,1-667c1a46917f6959093eb801e3705663
0.354344,person,2016,03,30,17,47,58,29-01,638x328+-18+66,,,,,,20160330174758-29-01.jpg,20160330174758-29-01,1-e6d0c4376b2d36b381365faa7130163a
0.268941,person,2016,03,30,16,22,47,15-01,40x58+322+138,,,,,,20160330162247-15-01.jpg,20160330162247-15-01,1-9ee635843bd604db54eba917c76740a6
0.450166,person,2016,03,30,19,46,39,87-00,630x478+6+0,,,,,,20160330194639-87-00.jpg,20160330194639-87-00,1-40e49b30ac0174dcb5735ff3a9d556c6
0.858149,person,2016,03,30,18,49,20,47-00,22x98+152+266,,,,,,20160330184920-47-00.jpg,20160330184920-47-00,1-5bc4572c6833c92b0798cb7653618750
,NO_TAGS,2016,03,30,16,33,26,18-00,32x180+230+68,,,,,,20160330163326-18-00.jpg,20160330163326-18-00,1-5351205b4291ee7b71f983e24ff7ec17
,NO_TAGS,2016,03,30,16,36,20,19-00,36x74+236+168,,,,,,20160330163620-19-00.jpg,20160330163620-19-00,1-c6cc6efa4e5ce5067e995fcac788278c
,NO_TAGS,2016,03,30,16,05,21,13-01,60x74+412+322,,,,,,20160330160521-13-01.jpg,20160330160521-13-01,1-99c773e5d184e5d3bcbeef65ae17e508
,NO_TAGS,2016,03,30,20,02,18,93-00,50x134+196+240,,,,,,20160330200218-93-00.jpg,20160330200218-93-00,1-99f50ee2ff53d291ab85440c909d0b14
0.964429,person,2016,03,30,13,18,24,34-01,56x74+338+128,,,,,,20160330131824-34-01.jpg,20160330131824-34-01,1-aed69dc5c5a13372f35b99cf522bbd87
0.942676,person,2016,03,30,17,17,12,23-01,488x468+92+0,,,,,,20160330171712-23-01.jpg,20160330171712-23-01,1-5ddcdc1ebe8773a32cae187649dea3cd
0.377541,person,2016,03,30,19,18,09,60-00,30x94+224+134,,,,,,20160330191809-60-00.jpg,20160330191809-60-00,1-3a5832a3fe372dc5e29f61905834ac2f
0.999089,person,2016,03,30,13,12,17,28-01,222x370+178+82,,,,,,20160330131217-28-01.jpg,20160330131217-28-01,1-6aad1bfbe1e55e786c40b6b8ac75bf08
,NO_TAGS,2016,03,30,17,10,39,22-01,38x50+422+298,,,,,,20160330171039-22-01.jpg,20160330171039-22-01,1-ca3282b0ab2142f05c017f0320f529b3
,NO_TAGS,2016,03,31,06,16,37,121-01,30x80+504+210,,,,,,20160331061637-121-01.jpg,20160331061637-121-01,1-61c98e456d47757dd7e422c39f8e656d
0.310026,person,2016,03,30,18,00,37,34-01,58x120+312+94,,,,,,20160330180037-34-01.jpg,20160330180037-34-01,1-c80f7e177d65151cf44ea931b81581cf
0.574443,person,2016,03,30,16,32,05,16-01,134x416+220+62,,,,,,20160330163205-16-01.jpg,20160330163205-16-01,1-89f586c95af3434641d144fbc2de3d2f
0.985226,person,2016,03,30,18,03,39,36-00,184x408+234+70,,,,,,20160330180339-36-00.jpg,20160330180339-36-00,1-76b4608ebdb04f01714f70d5faf38787
,NO_TAGS,2016,03,30,19,19,56,62-00,26x98+226+128,,,,,,20160330191956-62-00.jpg,20160330191956-62-00,1-d16129204411552e56030c2507825805
,NO_TAGS,2016,03,30,17,22,26,26-00,60x148+240+138,,,,,,20160330172226-26-00.jpg,20160330172226-26-00,1-4f6b55714a6e191d4ac6d0ebe7ec839e
,NO_TAGS,2016,03,30,15,43,07,05-01,376x448+126+30,,,,,,20160330154307-05-01.jpg,20160330154307-05-01,1-5dc9e1b40e071382c9c9cf5e3e42f5c0
,NO_TAGS,2016,03,30,13,26,06,44-01,254x54+222+152,,,,,,20160330132606-44-01.jpg,20160330132606-44-01,1-7af80b676ff10b1a0202c57af5878ecf
0.268941,person,2016,03,30,18,01,30,35-00,54x120+232+148,,,,,,20160330180130-35-00.jpg,20160330180130-35-00,1-327c6f6c1791ac9e206fe0078d38a078
,NO_TAGS,2016,03,31,06,55,12,132-01,364x108+98+202,,,,,,20160331065512-132-01.jpg,20160331065512-132-01,1-87561051f79708d73efab880a4a56dcc
0.993307,person,2016,03,30,17,17,46,24-01,566x468+50+0,,,,,,20160330171746-24-01.jpg,20160330171746-24-01,1-66822d136eea148c3a96840cb5210fd3
,NO_TAGS,2016,03,30,16,55,19,20-01,22x94+238+174,,,,,,20160330165519-20-01.jpg,20160330165519-20-01,1-a945c8cfa5d9dac4f156fdc97be76a9c
0.998887,person,2016,03,30,13,26,45,45-01,252x434+184+38,,,,,,20160330132645-45-01.jpg,20160330132645-45-01,1-a41fda70754e5e39a256a443cec870e1
0.598688,person,2016,03,30,18,17,19,43-01,438x408+92+34,,,,,,20160330181719-43-01.jpg,20160330181719-43-01,1-ef589a561bd07d48ba86e1763463ce9e
,NO_TAGS,2016,03,30,17,37,19,27-01,638x258+15+106,,,,,,20160330173719-27-01.jpg,20160330173719-27-01,1-d01659290a05dbde6a62adaf9c67ca15
0.964429,person,2016,03,30,19,31,24,72-00,84x60+216+166,,,,,,20160330193124-72-00.jpg,20160330193124-72-00,1-64cce45e7d2c118ca153ffa6d554a9d8
,NO_TAGS,2016,03,30,18,12,16,40-01,42x54+220+200,,,,,,20160330181216-40-01.jpg,20160330181216-40-01,1-0a0baeb5c8eb79a414c1d24712577005
,NO_TAGS,2016,03,30,18,11,06,39-00,66x68+214+178,,,,,,20160330181106-39-00.jpg,20160330181106-39-00,1-c7609a16ab78f439eebe1e37395ffcfc
,NO_TAGS,2016,03,31,07,43,19,149-00,62x98+408+372,,,,,,20160331074319-149-00.jpg,20160331074319-149-00,1-8d36dde2b3b0e941ed1653416b46a763
,NO_TAGS,2016,03,30,15,23,48,03-01,20x104+236+168,,,,,,20160330152348-03-01.jpg,20160330152348-03-01,1-ace9a889146f9224f6bd994b838e0f2b
0.964429,person,2016,03,30,19,38,08,77-00,52x474+412+0,,,,,,20160330193808-77-00.jpg,20160330193808-77-00,1-6818b43e48c27a0058844fc7949c7d15
0.960834,person,2016,03,30,17,20,38,25-00,126x364+240+108,,,,,,20160330172038-25-00.jpg,20160330172038-25-00,1-916d162caf262778e39d63c1e800f121
0.598688,person,2016,03,30,18,56,54,52-00,36x158+250+276,,,,,,20160330185654-52-00.jpg,20160330185654-52-00,1-03a2d440050d9bc8c726f9a6a2fdd110
0.268941,person,2016,03,30,18,55,03,51-00,64x50+394+230,,,,,,20160330185503-51-00.jpg,20160330185503-51-00,1-e70f1cbff4e9a872929fb603f04433c0
0.956893,person,2016,03,30,18,08,44,37-01,148x450+246+28,,,,,,20160330180844-37-01.jpg,20160330180844-37-01,1-dafecc63c56e8c0b5b6f3d85f228d764
0.401312,person,2016,03,30,17,52,59,30-00,30x284+420+74,,,,,,20160330175259-30-00.jpg,20160330175259-30-00,1-59199a61867b7d1c9573506369f0a369
0.937027,person,2016,03,30,15,47,52,10-01,60x48+372+184,,,,,,20160330154752-10-01.jpg,20160330154752-10-01,1-215e5e36e3fafa1638077ada8298995c
,NO_TAGS,2016,03,31,09,29,09,182-00,322x316+62+162,,,,,,20160331092909-182-00.jpg,20160331092909-182-00,1-59f5d545e5aa593e49ef23f7cea7334a
0.377541,person,2016,03,30,18,57,27,53-01,58x106+240+372,,,,,,20160330185727-53-01.jpg,20160330185727-53-01,1-db9029b12e20a134f3a2c23ec23c51bd
0.450166,person,2016,03,30,19,04,21,56-01,24x80+226+208,,,,,,20160330190421-56-01.jpg,20160330190421-56-01,1-dca2fbae2d943f9e66088833638d3e50
,NO_TAGS,2016,03,30,16,32,55,17-00,22x98+238+172,,,,,,20160330163255-17-00.jpg,20160330163255-17-00,1-750e5b49b244d7fdbc293e6b723a78bf
0.768525,person,2016,03,30,19,11,49,58-01,330x428+194+50,,,,,,20160330191149-58-01.jpg,20160330191149-58-01,1-3de61c7ad69154eff81b8d44d8d4075f
0.377541,person,2016,03,30,20,17,34,97-00,550x478+44+0,,,,,,20160330201734-97-00.jpg,20160330201734-97-00,1-8ba99ccfd6878c5d649f9ecd1cd912d4
0.401312,person,2016,03,30,18,15,40,42-00,168x478+232+0,,,,,,20160330181540-42-00.jpg,20160330181540-42-00,1-9d3c73d80fa6699f722edea6c4f1f923
,NO_TAGS,2016,03,31,06,27,39,123-00,46x34+296+94,,,,,,20160331062739-123-00.jpg,20160331062739-123-00,1-2bf4adb85cbfbe4a29816ea2a24a2211
0.983697,person,2016,03,30,19,38,25,78-01,58x88+448+390,,,,,,20160330193825-78-01.jpg,20160330193825-78-01,1-019cc5ba46659ab7a9ed3e5469431e7e
0.995033,person,2016,03,30,19,08,59,57-00,316x440+166+38,,,,,,20160330190859-57-00.jpg,20160330190859-57-00,1-b198f0ffd96b8a34eaaa2110e7abd5e8
,NO_TAGS,2016,03,30,17,10,15,21-00,568x468+36+0,,,,,,20160330171015-21-00.jpg,20160330171015-21-00,1-d6d2b34fe7d6450cfb76d1e78e2aa027
,NO_TAGS,2016,03,31,06,42,58,128-01,52x44+292+88,,,,,,20160331064258-128-01.jpg,20160331064258-128-01,1-9d7dbce6f139fc63f5bc0a209b23aa42
0.869892,person,2016,03,30,17,53,11,31-00,56x74+426+164,,,,,,20160330175311-31-00.jpg,20160330175311-31-00,1-cd9441eb4d9f2f5f212e3e3c0a7aafbe
0.5,person,2016,03,30,19,27,13,67-00,50x98+406+294,,,,,,20160330192713-67-00.jpg,20160330192713-67-00,1-574b7ea39b651465dd47870ab5313400
,NO_TAGS,2016,03,31,10,14,04,189-01,60x34+396+242,,,,,,20160331101404-189-01.jpg,20160331101404-189-01,1-3c8aa0ee8d8ef27725242dd448e1cc6d
0.668188,person,2016,03,30,19,26,42,66-01,36x70+482+366,,,,,,20160330192642-66-01.jpg,20160330192642-66-01,1-a814ce31a973f19b92ef508eba9ba184
0.425557,person,2016,03,30,20,07,10,94-01,450x234+106+130,,,,,,20160330200710-94-01.jpg,20160330200710-94-01,1-cb4c9bfc6b25fc61fd40b6b6eb55e1ca
,,2016,03,31,13,09,16,12-01,54x124+196+122,ERROR,cannot-analyze:downstream-issue,,,By accessing AlchemyAPI or using information generated by AlchemyAPI, you are agreeing to be bound by the AlchemyAPI Terms of Use: http://www.alchemyapi.com/company/terms.html,,20160331130916-12-01,1-f86290bd295530c62dc47d9a298c166c
,,2016,03,31,13,15,31,15-01,46x54+354+162,OK,,4,,By accessing AlchemyAPI or using information generated by AlchemyAPI, you are agreeing to be bound by the AlchemyAPI Terms of Use: http://www.alchemyapi.com/company/terms.html,,20160331131531-15-01,1-e32d5214c59deb2a56a5dc7c8f9b0d4c
0.574443,person,2016,03,30,17,53,23,32-00,70x254+398+96,,,,,,20160330175323-32-00.jpg,20160330175323-32-00,1-2ba7355a1d74beb511ad28323e90921a
0.900249,person,2016,03,30,19,31,49,73-01,596x422+12+0,,,,,,20160330193149-73-01.jpg,20160330193149-73-01,1-184bf4af48548c4b2bef0a84f56a6429
,NO_TAGS,2016,03,31,11,09,44,198-00,44x90+258+372,,,,,,20160331110944-198-00.jpg,20160331110944-198-00,1-d32d8c25e7020841efed00f161d4e94b
,NO_TAGS,2016,03,30,18,10,14,38-01,638x478+18+0,,,,,,20160330181014-38-01.jpg,20160330181014-38-01,1-f07c16a4295b87cc803740189b090f6d
,NO_TAGS,2016,03,30,20,45,33,105-00,56x68+422+94,,,,,,20160330204533-105-00.jpg,20160330204533-105-00,1-3e0b42f56f964e96ba65d0174e887465
0.817574,person,2016,03,30,19,30,26,71-01,116x454+418+4,,,,,,20160330193026-71-01.jpg,20160330193026-71-01,1-50a6a941205acba1ca34ee40bb2dcc42
0.377541,person,2016,03,30,18,52,30,49-00,410x446+126+32,,,,,,20160330185230-49-00.jpg,20160330185230-49-00,1-afa2ef4a9dcdd472ad9956be12fe6452
0.354344,person,2016,03,30,19,45,06,86-00,552x478+66+0,,,,,,20160330194506-86-00.jpg,20160330194506-86-00,1-5416c2fa5d5173a11ab135a43f9ea0fa
,NO_TAGS,2016,03,31,06,58,30,134-01,64x28+404+342,,,,,,20160331065830-134-01.jpg,20160331065830-134-01,1-fd87108aad736e13d599bc002677e127
,NO_TAGS,2016,03,30,21,55,40,111-00,46x478+510+0,,,,,,20160330215540-111-00.jpg,20160330215540-111-00,1-b2aa20db03d93f673456d7f5baa81e4c
,NO_TAGS,2016,03,30,18,12,54,41-00,464x344+40+134,,,,,,20160330181254-41-00.jpg,20160330181254-41-00,1-d987307bd82ff3929aafb8ec3296a72c
0.450166,person,2016,03,30,19,28,00,68-01,40x100+428+278,,,,,,20160330192800-68-01.jpg,20160330192800-68-01,1-f3083d57685ba7c76b913476be59fad8
0.956893,person,2016,03,30,19,36,07,75-01,56x44+462+380,,,,,,20160330193607-75-01.jpg,20160330193607-75-01,1-3b389ee16dc3530e61c152865b29ec31
0.999176,person,2016,03,30,19,55,48,89-01,478x464+76+6,,,,,,20160330195548-89-01.jpg,20160330195548-89-01,1-94323af71ba110b65db022d1f3c2ea6d
0.75026,person,2016,03,31,11,28,24,211-00,104x340+396+74,,,,,,20160331112824-211-00.jpg,20160331112824-211-00,1-48827e07c3e782eaaffda1c741f4bc50
0.354344,person,2016,03,30,18,54,29,50-01,206x114+174+364,,,,,,20160330185429-50-01.jpg,20160330185429-50-01,1-c76115d792a7a61eb6f5b4ba52dd04d1
0.858149,person,2016,03,31,11,35,08,214-01,638x444+-6+28,,,,,,20160331113508-214-01.jpg,20160331113508-214-01,1-c3a5fc2455013ee38d8b4af4067541df
,NO_TAGS,2016,03,30,20,10,41,96-01,22x104+228+288,,,,,,20160330201041-96-01.jpg,20160330201041-96-01,1-3e2233974f48535bb96b8d7091ca3893
0.450166,person,2016,03,31,07,18,59,140-00,546x478+36+0,,,,,,20160331071859-140-00.jpg,20160331071859-140-00,1-1bc6ca463633c26b62fa6dabce3533d3
0.310026,abandoned,2016,03,31,06,15,48,120-00,98x108+400+370,,,,,,20160331061548-120-00.jpg,20160331061548-120-00,1-533c2829e7554eaf05547e76d53bd959
0.956893,person,2016,03,30,19,39,38,80-01,28x230+414+80,,,,,,20160330193938-80-01.jpg,20160330193938-80-01,1-a90547a88dff97d9f7a9c10bde7f3e20
0.710949,person,2016,03,30,19,40,36,82-01,54x432+390+0,,,,,,20160330194036-82-01.jpg,20160330194036-82-01,1-9a05d11c7b6658556d07b69b8bb27dca
0.5,person,2016,03,30,18,42,45,45-00,618x478+14+0,,,,,,20160330184245-45-00.jpg,20160330184245-45-00,1-12f3d1e72cdf0279dd7e02d6936251e4
,NO_TAGS,2016,03,30,20,42,17,101-00,478x468+80+10,,,,,,20160330204217-101-00.jpg,20160330204217-101-00,1-60b7578e347fdd13ff4eb36f155a6147
0.574443,person,2016,03,31,11,59,04,223-00,52x70+348+166,,,,,,20160331115904-223-00.jpg,20160331115904-223-00,1-f22a40da0bc1ccb43a7da59a0608c43b
,NO_TAGS,2016,03,31,06,21,33,122-00,46x34+296+94,,,,,,20160331062133-122-00.jpg,20160331062133-122-00,1-d0c8bcc02bc4a2dcedadaf44f25e225c
,NO_TAGS,2016,03,30,22,11,48,113-01,186x418+372+60,,,,,,20160330221148-113-01.jpg,20160330221148-113-01,1-9fead91b5d2b872e4eb6f50d04807ed1
,NO_TAGS,2016,03,30,19,58,06,90-00,114x124+150+224,,,,,,20160330195806-90-00.jpg,20160330195806-90-00,1-d45400a015e6a3770ea08461940f5d14
0.967705,person,2016,03,30,19,41,56,83-00,70x434+380+26,,,,,,20160330194156-83-00.jpg,20160330194156-83-00,1-c68524612818219e89b689dc698856ae
0.942676,person,2016,03,31,12,02,46,227-01,616x434+25+44,,,,,,20160331120246-227-01.jpg,20160331120246-227-01,1-c74f5501a04da5dc2b1dcc69bb45dc75
,NO_TAGS,2016,03,31,06,14,48,119-00,300x468+244+0,,,,,,20160331061448-119-00.jpg,20160331061448-119-00,1-3e22c2a7234bc920b77f51cbe3ad5d59
,NO_TAGS,2016,03,31,07,21,28,141-01,34x104+382+176,,,,,,20160331072128-141-01.jpg,20160331072128-141-01,1-1d3ac89c9fc49f795a8fc1e0fa615c34
,NO_TAGS,2016,03,31,06,30,10,125-00,52x38+292+92,,,,,,20160331063010-125-00.jpg,20160331063010-125-00,1-465a48962251fd9e5f3b56112c5e351a
0.858149,person,2016,03,30,19,42,57,84-00,412x438+168+0,,,,,,20160330194257-84-00.jpg,20160330194257-84-00,1-7a4049dfdcd336acd1db4ee6a45cf07a
0.731059,person,2016,03,30,19,40,14,81-00,54x48+456+400,,,,,,20160330194014-81-00.jpg,20160330194014-81-00,1-dda7bccf5c005bc4417d7c5a64ddb3a4
,NO_TAGS,2016,03,31,12,12,05,232-01,40x74+404+278,,,,,,20160331121205-232-01.jpg,20160331121205-232-01,1-216eda9c55f8b5e1ffad54243119467f
0.832018,person,2016,03,30,18,49,52,48-01,552x158+78+262,,,,,,20160330184952-48-01.jpg,20160330184952-48-01,1-71219f153418117da4423661383776ad
0.450166,person,2016,03,30,20,30,52,99-01,638x450+13+28,,,,,,20160330203052-99-01.jpg,20160330203052-99-01,1-43c65d94ddde6ac999cf9bf8d1e17c80
,NO_TAGS,2016,03,31,07,15,41,138-01,584x478+28+0,,,,,,20160331071541-138-01.jpg,20160331071541-138-01,1-68b89a4590abab6cf8ce4e630ccd7f18
